,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,2006-10-14,302,28 33 08.4,24 50 59.3,1,G23542,W020,,4800,430,81,39004,2006-07-25,2006-05-30,,,,,,
,2006-10-15,304,28 35 29.7,24 49 36.3,1,G23505,W025,,4100,245,55,39005,2006-08-21,2006-06-26,,,,,,
,2006-10-15,308,28 39 53.7,24 47 52.0,1,G23543,W042,,5050,523,99,39005,2006-07-08,2006-05-13,,,,,,
,2006-10-15,309,28 39 51.7,24 47 11.6,1,G23548,W043,,5550,485,91,39005,2006-07-16,2006-05-21,,,,,,
,2006-10-14,315,28 38 56.5,24 48 58.5,6,,,,,,,,,,,,,,,
,2006-10-15,317,28 40 21.6,24 50 18.7,6,,,,,,,,,,,,,,,
,2006-10-15,319,28 39 23.2,24 47 54.2,1,G23593,W041,,5400,551,107,39005,2006-06-30,2006-05-05,,,,,,
,2006-10-14,320,28 36 10.4,24 48 37.7,6,,,,,,,,,,,,,,,
,2006-10-14,321,28 39 04.5,24 47 22.4,5,,,,,,,,,,,,,,,
,2006-10-14,322,28 41 10.8,24 49 06.2,16,,,,,,,,,,,,,,,
,2006-10-14,323,28 41 44.0,24 49 25.6,1,G23538,W006,,5500,460,86,39004,2006-07-20,2006-05-25,,,,,,
,2006-10-18,325,28 37 23.5,24 49 13.8,15,,,,,,,,,,,,,,,
,2006-10-27,326,28 33 51.0,24 51 38.0,1,G23561,W011,,4500,398,77,39017,2006-08-11,2006-06-16,,,,,,
,2006-10-27,327,28 38 12.1,24 46 51.6,1,G23582,,,4150,270,59,39017,2006-08-29,2006-07-04,,,,,,
,2006-10-27,328,28 38 04.8,24 46 40.6,6,,,,,,,,,,,,,,,
,2006-10-14,333,28 33 16.3,24 51 18.7,6,,,,,,,,,,,,,,,
,2006-10-14,334,28 33 28.6,24 50 48.1,1,G23571,W021,,4200,330,67,39004,2006-08-08,2006-06-13,,,,,,
,2006-10-14,335,28 33 39.5,24 50 46.0,6,,,,,,,,,,,,,,,
,2006-10-15,345,28 37 34.9,24 50 13.8,1,G23531,W050,,4700,400,77,39005,2006-07-30,2006-06-04,,,,,,
,2006-10-14,347,28 39 30.2,24 47 17.1,1,G23514,W035,,4850,497,94,39004,2006-07-12,2006-05-17,,,,,,
,2006-10-15,348,28 40 12.7,24 48 07.3,6,,,,,,,,,,,,,,,
,2006-10-14,351,28 41 53.6,24 49 43.1,6,,,,,,,,,,,,,,,
,2006-10-14,352,28 41 11.0,24 49 30.8,1,G23387,W004,,5300,475,89,39004,2006-07-17,2006-05-22,,,,,,
,2006-10-15,359,28 38 43.4,24 47 35.0,1,G23594,,,2900,125,37,39005,2006-09-08,2006-07-14,,,,,,
,2006-10-14,361,28 34 12.8,24 52 31.0,1,G23503,W016,,4100,280,60,39004,2006-08-15,2006-06-20,,,,,,
,2006-10-15,396,28 40 30.6,24 47 15.7,1,G23539,W048,,4800,480,90,39005,2006-07-17,2006-05-22,,,,,,
,TOTALS,76,,,76,43,41,,4869,411,80,,2006-07-27,2006-06-01,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 13 to 14 October 2007 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2007-10-13,11,28 39 15.4,24 47 11.9,6,,,,,,,,,,,,,,,
,2007-10-13,12,28 39 27.1,24 47 41.1,1,G23519,W030,,5000,449,84,39368,2007-07-21,2007-05-26,,,,,,
,2007-10-13,13,28 39 18.6,24 47 25.8,5,,,,,,,,,,,,,,,
,2007-10-14,15,28 39 54.6,24 47 23.9,3,,,,,,,,,,,,,,,
,2007-10-13,16,28 40 04.1,24 47 49.0,1,G23529,W014,,5800,480,90,39368,2007-07-15,2007-05-20,,,,,,
,2007-10-14,18,28 40 55.9,24 48 06.6,8,,,,,,,,,,,,,,,
,2007-10-14,27,28 41 04.9,24 48 58.3,1,G23592,W092,,5200,495,93,39369,2007-07-13,2007-05-18,,,,,,
,2007-10-14,30,28 40 52.4,24 49 24.4,5,,,,,,,,,,,,,,,
,2007-10-14,34,28 41 06.9,24 49 14.5,1,G23382,W091,,4700,505,95,39369,2007-07-11,2007-05-16,,,,,,
,2007-10-14,38,28 37 46.3,24 50 00.5,5,,,,,,,,,,,,,,,
,2007-10-13,44,28 37 50.7,24 51 30.7,6,,,,,,,,,,,,,,,
,2007-10-13,48,28 39 37.0,24 49 27.3,1,G23600,W085,,5700,455,85,39368,2007-07-20,2007-05-25,,,,,,
,2007-10-13,50,28 39 31.3,24 49 28.8,6,,,,,,,,,,,,,,,
,2007-10-13,64,28 36 51.9,24 48 51.0,1,G23516,W064,,5300,480,90,39368,2007-07-15,2007-05-20,,,,,,
,2007-10-14,65,28 37 33.1,24 51 35.1,1,G23568,W093,,5000,430,81,39369,2007-07-25,2007-05-30,,,,,,
,2007-10-14,84,28 39 07.7,24 48 37.5,1,G23590,W051,,5000,501,94,39369,2007-07-12,2007-05-17,,,,,,
,2007-10-14,85,28 39 16.9,24 48 46.5,6,,,,,,,,,,,,,,,
,2007-10-13,94,28 39 55.7,24 49 57.8,1,G23549,W086,,5900,460,86,39368,2007-07-19,2007-05-24,,,,,,
,2007-10-14,98,28 40 13.7,24 48 39.1,1,G27733,W053,,5050,444,83,39369,2007-07-23,2007-05-28,,,,,,
,2007-10-14,100,28 39 53.0,24 49 02.0,1,G27739,W052,,5200,431,81,39369,2007-07-25,2007-05-30,,,,,,
,2007-10-13,103,28 40 57.8,24 49 59.8,1,G23597,W087,,5600,500,94,39368,2007-07-11,2007-05-16,,,,,,
,2007-10-14,104,28 40 33.3,24 48 57.4,1,G23521,W090,,4500,310,64,39369,2007-08-11,2007-06-16,,,,,,
,2007-10-13,112,28 39 29.2,24 47 34.8,6,,,,,,,,,,,,,,,
,2007-10-14,120,28 39 57.1,24 47 31.3,1,G27740,W057,,5750,467,88,39369,2007-07-18,2007-05-23,,,,,,
,2007-10-13,123,28 33 31.7,24 52 14.1,1,G27709,W066,,5300,535,102,39368,2007-07-03,2007-05-08,,,,,,
,2007-10-13,124,28 33 27.0,24 52 01.7,6,,,,,,,,,,,,,,,
,2007-10-13,132,28 33 10.3,24 51 04.1,1,G23343,W068,,5300,460,86,39368,2007-07-19,2007-05-24,,,,,,
,2007-10-14,141,28 34 04.8,24 50 23.4,6,,,,,,,,,,,,,,,
,2007-10-14,146,28 37 43.5,24 50 03.7,1,G27748,W096,,4200,397,77,39369,2007-07-29,2007-06-03,,,,,,
,2007-10-14,147,28 37 48.6,24 50 18.2,1,G27749,W095,,5100,485,91,39369,2007-07-15,2007-05-20,,,,,,
,2007-10-14,150,28 37 30.0,24 51 37.3,5,,,,,,,,,,,,,,,
,2007-10-13,151,28 39 37.5,24 47 50.5,1,G23506,W039,,5400,368,73,39368,2007-08-01,2007-06-06,,,,,,
,2007-10-14,152,28 40 27.3,24 47 41.6,1,G27738,W055,,5550,430,81,39369,2007-07-25,2007-05-30,,,,,,
,2007-10-14,154,28 40 30.4,24 47 20.1,6,,,,,,,,,,,,,,,
,2007-10-13,163,28 39 35.3,24 49 47.8,5,,,,,,,,,,,,,,,
,2007-10-14,174,28 37 38.3,24 49 55.5,1,G27750,W094,,4300,355,71,39369,2007-08-04,2007-06-09,,,,,,
,2007-10-14,191, 28 39 55.8,24 48 34.0,6,,,,,,,,,,,,,,,
,2007-10-13,195,28 39 11.1,24 47 14.9,16,,,,,,,,,,,,,,,
,2007-10-14,198,28 39 53.2,24 48 20.5,16,,,,,,,,,,,,,,,
,2007-10-13,206,28 34 59.4,24 52 33.4,6,,,,,,,,,,,,,,,
,2007-10-14,211,28 39 51.8,24 47 25.6,5,,,,,,,,,,,,,,,
,2007-10-14,221,28 35 33.2,24 49 39.1,1,G27710,W073,,5550,435,82,39369,2007-07-24,2007-05-29,,,,,,
,2007-10-14,222,28 35 44.6,24 49 04.2,6,,,,,,,,,,,,,,,
,2007-10-14,226,28 34 46.3,24 49 52.8,1,G23566,W072,,5300,480,90,39369,2007-07-16,2007-05-21,,,,,,
,2007-10-14,227,28 34 34.1,24 49 51.0,6,,,,,,,,,,,,,,,
,2007-10-14,230,28 33 54.5,24 50 18.4,6,,,,,,,,,,,,,,,
,2007-10-14,238,28 35 55.2,24 49 04.1,6,,,,,,,,,,,,,,,
,2007-10-14,259,28 36 14.3,24 48 58.4,1,G23515,W074,,5000,485,91,39369,2007-07-15,2007-05-20,,,,,,
,2007-10-14,265,28 39 53.9,24 48 30.7,8,,,,,,,,,,,,,,,
,2007-10-14,266,28 40 15.9,24 48 52.1,6,,,,,,,,,,,,,,,
,2007-10-13,278,28 33 30.0,24 52 01.1,1,G27708,W067,,3800,370,73,39368,2007-08-01,2007-06-06,,,,,,
,2007-10-14,281,28 34 39.9,24 49 55.6,1,G23326,W071,,4300,325,66,39369,2007-08-09,2007-06-14,,,,,,
,2007-10-14,284,28 35 13.5,24 49 32.4,6,,,,,,,,,,,,,,,
,2007-10-13,299,28 39 19.3,24 47 17.6,6,,,,,,,,,,,,,,,
,2007-10-13,308,28 39 53.7,24 47 52.0,6,,,,,,,,,,,,,,,
,2007-10-14,309,28 39 51.7,24 47 11.6,16,,,,,,,,,,,,,,,
,2007-10-14,312,28 36 45.4,24 49 44.6,1,G27704,W076,,4500,370,73,39369,2007-08-02,2007-06-07,,,,,,
,2007-10-13,313,28 39 27.0,24 49 21.7,1,G23554,W084,,3400,255,56,39368,2007-08-18,2007-06-23,,,,,,
,2007-10-13,314,28 39 55.6,24 48 11.0,1,G23524,W040,,4400,345,69,39368,2007-08-05,2007-06-10,,,,,,
,2007-10-14,315,28 38 56.5,24 48 58.5,6,,,,,,,,,,,,,,,
,2007-10-13,317,28 40 21.6,24 50 18.7,2,,,,,,,,,,,,,,,
,2007-10-13,319,28 39 23.2,24 47 54.2,6,,,,,,,,,,,,,,,
,2007-10-13,323,28 41 44.0,24 49 25.6,1,G23562,W088,,5300,500,94,39368,2007-07-11,2007-05-16,,,,,,
,2007-10-14,325,28 37 23.5,24 49 13.8,1,G27701,W075,,4150,345,69,39369,2007-08-06,2007-06-11,,,,,,
,2007-12-04,326,28 33 51.0,24 51 38.0,1,G27737,W059,,5350,465,88,39420,2007-09-07,2007-07-13,,,,,,
,2007-10-14,327,28 38 12.1,24 46 51.6,6,,,,,,,,,,,,,,,
,2007-10-13,333,28  33 16.3,24 51 18.7,6,,,,,,,,,,,,,,,
,2007-10-13,334,28 33 28.6,24 50 48.1,1,G23324,W069,,4300,325,66,39368,2007-08-08,2007-06-13,,,,,,
,2007-10-13,335,28 33 39.5,24 50 46.0,2,,,,,45,10,39368,2007-10-03,2007-08-08,,,,,,
,2007-10-14,341,28 34 24.4,24 50 13.1,1,G27707,W070,,4000,378,74,39369,2007-08-01,2007-06-06,,,,,,
,2007-10-14,342,28 34 29.4,24 50 09.8,16,,,,,140,39,39369,2007-09-05,2007-07-11,,,,,,
,2007-10-14,343,28 34 43.3,24 50 10.5,5,,,,,,,,,,,,,,,
,2007-10-14,345,28 37 34.9,24 50 13.8,6,,,,,,,,,,,,,,,
,2007-10-13,347,28 39 30.2,24 47 17.1,1,G23518,W029,,4950,457,85,39368,2007-07-20,2007-05-25,,,,,,
,2007-10-14,348,28 40 12.7,24 48 07.3,6,,,,,,,,,,,,,,,
,2007-10-13,352,28 41 11.0,24 49 30.8,16,,,,,,,,,,,,,,,
,2007-10-14,354,28 40 07.3,24 48 33.0,1,G27736,W054,,4450,365,72,39369,2007-08-03,2007-06-08,,,,,,
,2007-10-14,355,28 40 30.2,24 47 58.1,6,,,,,,,,,,,,,,,
,2007-10-13,356,28 39 18.4,24 47 15.8,1,G23575,W028,,5650,467,88,39368,2007-07-17,2007-05-22,,,,,,
,2007-10-14,359,28 38 43.4,24 47 35.0,1,G23588,,,3000,120,36,39369,2007-09-08,2007-07-14,,,,,,
,2007-10-13,361,28 34 12.8,24 52 31.0,1,G23547,W065,,4500,380,74,39368,2007-07-31,2007-06-05,,,,,,
,2007-10-14,362,28 34 41.2,24 49 58.8,5,,,,,,,,,,,,,,,
,2007-10-14,363,28 35 40.7,24 49 25.3,6,,,,,,,,,,,,,,,
,2007-10-14,364,28 35 24.1,24 49 29.1,6,,,,,,,,,,,,,,,
,2007-10-13,375,28 38 54.1,24 47 13.6,1,G23520,W027,,6000,548,107,39368,2007-06-28,2007-05-03,,,,,,
,2007-11-30,376,28 39 42.8,24 48 02.1,1,G27734,W058,,4750,250,55,39416,2007-10-06,2007-08-11,,,,,,
,2007-10-14,386,28 39 39.0,24 49 17.6,1,G23569,W089,,3600,230,52,39369,2007-08-23,2007-06-28,,,,,,
,2007-10-14,396,28 40 30.6,24 47 15.7,1,G27732,W056,,5400,528,101,39369,2007-07-05,2007-05-10,,,,,,
,TOTALS,88,,,88,43,42,,4895,401,78,,2007-07-30,2007-06-04,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 09  to 18 October 2008 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2008-10-12,5,28 38 54.4,24 47 31.2,1,G30294,W125,,4500,425,80,39733,2008-07-24,2008-05-29,,,,,,
,2008-10-10,9,28 39 05.7,24 47 21.7,1,G27722,W062,,5200,478,90,39731,2008-07-12,2008-05-17,,,,,,
,2008-10-11,12,28 39 27.1,24 47 41.1,1,G27705,W081,,4800,525,100,39732,2008-07-03,2008-05-08,,,,,,
,2008-10-11,15,28 39 54.6,24 47 23.9,1,G27745,W097,,5050,487,92,39732,2008-07-11,2008-05-16,,,,,,
,2008-10-11,16,28 40 04.1,24 47 49.0,6,,,,,,,,,,,,,,,
,2008-10-12,18,28 40 55.9,24 48 06.6,6,,,,,,,,,,,,,,,
,2008-10-12,27,28 41 04.9,24 48 58.3,6,,,,,,,,,1900-01-02,,,,,,
,2008-10-12,30,28 40 52.4,24 49 24.4,1,G30269,W140,,4900,415,79,39733,2008-07-25,2008-05-30,,,,,,
,2008-10-12,34,28 41 06.9,24 49 14.5,1,G30270,W141,,5100,480,90,39733,2008-07-14,2008-05-19,,,,,,
,2008-10-11,48,28 39 37.0,24 49 27.3,16,,,,,,,,,,,,,,,
,2008-10-11,50,28 39 31.3,24 49 28.8,5,,,,,,,,,,,,,,,
,2008-10-11,57,28 40 27.0,24 47 21.0,1,G27744,W098,,5100,555,108,39732,2008-06-25,2008-04-30,,,,,,
,2008-10-11,58,28 39 12.3,24 50 12.5,8,,,,,,,,,,,,,,,
,2008-10-09,64,28 36 51.9,24 49 51.0,1,G27720,W077,,5800,436,82,39730,2008-07-19,2008-05-24,,,,,,
,2008-10-11,65,28 37 33.1,24 51 35.1,16,,,,,,,,,,,,,,,
,2008-10-11,75,28 39 22.2,24 49 19.1,1,G30265,W137,,5200,431,81,39732,2008-07-22,2008-05-27,,,,,,
,2008-10-11,84,28 39 07.7,24 48 37.5,1,G27717,W102,,5100,514,97,39732,2008-07-06,2008-05-11,,,,,,
,2008-10-11,85,28 39 16.9,24 48 46.5,1,G30267,,,3100,185,46,39732,2008-08-26,2008-07-01,,,,,,
,2008-10-12,91,28 40 18.7,24 49 24.2,1,G27716,,,4000,265,58,39733,2008-08-15,2008-06-20,,,,,,
,2008-10-12,100,28 39 53.0,24 49 02.0,1,G27715,W105,,4550,332,67,39733,2008-08-06,2008-06-11,,,,,,
,2008-10-12,103,28 40 57.8,24 49 59.8,1,G27712,W107,,5000,458,86,39733,2008-07-18,2008-05-23,,,,,,
,2008-10-12,104,28 40 33.3,24 48 57.4,1,G27724,,,4450,297,62,39733,2008-08-11,2008-06-16,,,,,,
,2008-10-11,112,28 39 29.2,24 47 34.8,1,G27719,W080,,5050,468,88,39732,2008-07-15,2008-05-20,,,,,,
,2008-10-11,121,28 38 53.9,24 50 10.1,6,,,,,,,,,,,,,,,
,2008-10-11,123,28 33 31.7,24 52 14.1,6,,,,,,,,,,,,,,,
,2008-10-11,124,28 33 27.0,24 52 01.7,1,G30260,W121,,5900,464,87,39732,2008-07-16,2008-05-21,,,,,,
,2008-10-11,125,28 33 21.6,24 51 47.5,1,G30258,W119,,4400,268,59,39732,2008-08-13,2008-06-18,,,,,,
,2008-10-11,132,28 33 10.3,24 51 04.1,16,,,,,,,,,,,,,,,
,2008-10-11,139,28 33 21.7,24 50 40.8,6,,,,,,,,,,,,,,,
,2008-10-11,143,28 36 53.4,24 49 58.0,6,,,,,,,,,,,,,,,
,2008-10-11,146,28 37 43.5,24 50 03.7,6,,,,,,,,,,,,,,,
,2008-10-11,152,28 40 27.0,24 47 41.6,1,G27723,W100,,5750,430,81,39732,2008-07-22,2008-05-27,,,,,,
,2008-10-11,196,28 39 03.3,24 48 58.9,15,,,,,,,,,,,,,,,
,2008-10-11,211,28 39 51.8,24 47 25.6,1,G27746,W083,,5250,367,73,39732,2008-07-30,2008-06-04,,,,,,
,2008-10-12,218,28 38 35.5,24 47 24.5,6,,,,,,,,,,,,,,,
,2008-10-11,222,28 35 44.6,24 49 04.2,1,G30255,W116,,3700,228,52,39732,2008-08-20,2008-06-25,,,,,,
,2008-10-11,226,28 34 46.3,24 49 52.8,16,,,,,,,,,,,,,,,
,2008-10-11,227,28 34 34.1,24 49 51.0,6,,,,,,,,,,,,,,,
,2008-10-11,238,28 35 55.2,24 49 04.1,1,G30253,W114,,5600,535,102,39732,2008-07-01,2008-05-06,,,,,,
,2008-10-11,259,28 36 14.3,24 48 58.4,1,G30254,W115,,5400,510,96,39732,2008-07-07,2008-05-12,,,,,,
,2008-10-11,266,28 40 15.9,24 48 52.1,1,G27718,W104,,5600,516,97,39732,2008-07-06,2008-05-11,,,,,,
,2008-10-11,272,28 37 56.5,24 49 40.9,1,G30262,W134,,5600,430,81,39732,2008-07-22,2008-05-27,,,,,,
,2008-10-11,273,28 38 35.4,24 50 03.6,1,G30261,W133,,4900,400,77,39732,2008-07-26,2008-05-31,,,,,,
,2008-10-11,278,28 33 30.0,24 52 01.1,6,,,,,,,,,,,,,,,
,2008-10-11,281,28 34 39.9,24 49 55.6,6,,,,,,,,,,,,,,,
,2008-10-11,284,28 35 13.5,24 49 32.4,1,G30256,W117,,4600,392,76,39732,2008-07-27,2008-06-01,,,,,,
,2008-10-11,290,28 37 46.3,24 50 00.5,6,,,,,,,,,,,,,,,
,2008-10-11,304,28 35 29.7,24 49 36.3,6,,,,,,,,,,,,,,,
,2008-10-12,312,28 36 45.4,24 49 44.6,1,G30268,W139,,4600,385,75,39733,2008-07-29,2008-06-03,,,,,,
,2008-10-11,314,28 39 55.6,24 48 11.0,1,G27741,W103,,5000,425,80,39732,2008-07-23,2008-05-28,,,,,,
,2008-10-12,317,28 40 21.6,24 50 18.7,6,,,,,,,,,,,,,,,
,2008-10-11,320,28 36 10.4,24 48 37.7,1,G30252,W113,,5400,390,76,39732,2008-07-27,2008-06-01,,,,,,
,2008-10-13,322,28 41 10.8,24 49 06.2,1,G27727,W108,,4950,398,77,39734,2008-07-28,2008-06-02,,,,,,
,2008-10-12,325,28 37 23.5,24 49 13.8,15,,,,,,,,,,,,,,,
,2008-10-11,326,28 33 51.0,24 51 38.0,1,G30259,W120,,4400,258,57,39732,2008-08-15,2008-06-20,,,,,,
,2008-10-12,327,28 38 12.1,24 46 51.6,1,G30292,W123,,4700,448,84,39733,2008-07-20,2008-05-25,,,,,,
,2008-10-12,328,28 38 04.8,24 46 40.6,1,G30293,W124,,4300,266,58,39733,2008-08-15,2008-06-20,,,,,,
,2008-10-11,334,28 33 28.6,24 50 48.1,6,,,,,,,,,,,,,,,
,2008-10-11,335,28 33 39.5,24 50 46.0,8,,,,,,,,,,,,,,,
,2008-10-11,342,28 34 29.4,24 50 09.8,6,,,,,,,,,,,,,,,
,2008-10-11,345,28 37 34.9,24 50 13.8,1,G30263,W135,,5100,470,88,39732,2008-07-15,2008-05-20,,,,,,
,2008-10-11,347,28 39 30.2,24 47 17.1,6,,,,,,,,,,,,,,,
,2008-10-11,348,28 40 12.7,24 48 07.3,1,G27742,W101,,5250,374,73,39732,2008-07-30,2008-06-04,,,,,,
,2008-10-12,352,28 41 11.0,24 49 30.8,1,G27714,W106,,5050,390,76,39733,2008-07-28,2008-06-02,,,,,,
,2008-10-09,357,28 37 04.9,24 46 19.2,1,G27721,W078,,5200,512,96,39730,2008-07-05,2008-05-10,,,,,,
,2008-10-12,359,28 38 43.4,24 47 35.0,8,,,,,,,,,,,,,,,
,2008-10-11,361,28 34 12.8,24 52 31.0,1,G30291,W122,,5300,465,87,39732,2008-07-16,2008-05-21,,,,,,
,2008-10-10,365,28 39 29.5,24 47 31.1,6,,,,,,,,,,,,,,,
,2008-10-18,375,28 38 54.1,24 47 13.6,15,,,,,,,,,,,,,,,
,2008-10-11,376,28 39 42.8 ,24 48 02.1,6,,,,,,,,,,,,,,,
,2008-10-11,377,28 39 24.1,24 47 45.1,1,G27747,W082,,5350,540,104,39732,2008-06-29,2008-05-04,,,,,,
,2008-10-11,378,28 39 12.2,24 49 12.1,1,G30266,W138,,5400,457,86,39732,2008-07-17,2008-05-22,,,,,,
,2008-10-18,380,28 39 57.0,24 47 52.1,1,G27730,W110,,5500,470,88,39739,2008-07-22,2008-05-27,,,,,,
,2008-10-18,381,28 38 52.6,24 47 16.9,6,,,,,,,,,,,,,,,
,2008-10-11,382,28 41 27.3,24 49 24.3,6,,,,,,,,,,,,,,,
,2008-10-11,387,28 33 58.8,24 52 25.7,6,,,,,,,,,,,,,,,
,2008-10-11,388,28 33 33.9,24 52 09.8,6,,,,,,,,,,,,,,,
,2008-10-11,389,28 33 18.3,24 51 26.2,6,,,,,,,,,,,,,,,
,2008-10-11,391,28 33 54.1,24 50 24.3,16,,,,,,,,,,,,,,,
,2008-10-11,392,28 35 11.3,24 49 51.2,6,,,,,,,,,,,,,,,
,2008-10-11,393,28 35 37.7,24 49 18.5,6,,,,,,,,,,,,,,,
,2008-10-09,394,28 37 50.2,24 49 54.7,1,G27706,W061,,5200,460,86,39730,2008-07-15,2008-05-20,,,,,,
,2008-10-11,396,28 40 30.6,24 47 15.7,1,G27743,W099,,5250,520,99,39732,2008-07-04,2008-05-09,,,,,,
,2008-10-10,397,28 39 13.8,24 47 14.2,1,G27702,W079,,5350,353,70,39731,2008-08-01,2008-06-06,,,,,,
,2008-10-11,401,28 39 36.9,24 49 14.3,1,G30264,W136,,3600,370,73,39732,2008-07-30,2008-06-04,,,,,,
,2008-10-11,423,28 34 43.3,24 49 43.4,1,G30257,W118,,5400,470,88,39732,2008-07-15,2008-05-20,,,,,,
,2008-10-11,424,28 34 52.0,24 49 34.7,5,,,,,,,,,,,,,,,
,TOTALS,87,,,87,47,44,,4977,419,81,,2008-07-22,2006-02-22,,,,,,
,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 08 October to 11 November 2009 (table 2),,,,,,,,,,,,,,,,,,,
,Ringing,Tree #,,,Code,Ring,Tag,,Mass,Wing,Age at,Value at,Hatching,Laying ,,,,,,
,Date,DRN,Southings,Eastings,Oct,#,#,,g,length mm,Ringing (days),Ringing,Date,Date,,,,,,
,2009-10-10,11,28 39 15.4,24 47 11.9,1,G27713,W126,,4700,412,79,40096,2009-07-23,2009-05-28,,,,,,
,2009-10-10,15,28 39 54.6,24 47 23.9,6,,,,,,,,,,,,,,,
,2009-10-11,23,28 40 59.9,24 48 36.5,3,,,,,,,,,,,,,,,
,2009-10-11,27,28 41 04.9,24 48 58.3,1,G30285,W155,,6000,485,91,40097,2009-07-12,2009-05-17,,,,,,
,2009-10-10,30,28 40 52.4,24 49 24.4,1,G30290,W166,,5000,420,80,40096,2009-07-22,2009-05-27,,,,,,
,2009-10-10,32,28 41 05.9,24 49 44.9,1,G30288,W165,,3800,280,60,40096,2009-08-11,2009-06-16,,,,,,
,2009-10-10,34,28 41 06.9,24 49 14.5,8,,,,,,,,,,,,,,,
,2009-10-10,48,28 39 37.0,24 49 27.3,1,G30295,W111,,5200,350,70,40096,2009-08-01,2009-06-06,,,,,,
,2009-10-10,57,28 40 27.0,24 47 21.0,1,G30284,W156,,4800,445,83,40096,2009-07-19,2009-05-24,,,,,,
,2009-10-10,64,28 36 51.9,24 49 51.0,1,G30271,W144,,5000,360,72,40096,2009-07-30,2009-06-04,,,,,,
,2009-10-10,75,28 39 22.2,24 49 19.1,1,G30286,W169,,4900,410,79,40096,2009-07-23,2009-05-28,,,,,,
,2009-10-10,91,28 40 18.7,24 49 24.2,1,G30274,W112,,4200,310,64,40096,2009-08-07,2009-06-12,,,,,,
,2009-10-10,94,28 39 55.7,24 49 57.8,5,,,,,,,,,,,,,,,
,2009-10-11,98,28 40 13.7,24 48 39.1,1,G30707,,,2400,160,42,40097,2009-08-30,2009-07-05,,,,,,
,2009-10-10,117,28 38 04.3,24 49 43.5,1,G30272,W146,,4000,250,56,40096,2009-08-15,2009-06-20,,,,,,
,2009-10-10,123,28 33 31.7,24 52 14.1,1,G30686,W152,,5000,380,74,40096,2009-07-28,2009-06-02,,,,,,
,2009-10-10,124,28 33 27.0,24 52 01.7,1,G30689,W142,,5400,460,86,40096,2009-07-16,2009-05-21,,,,,,
,2009-10-10,141,28 34 04.8,24 50 23.4,1,G30681,W150,,5000,380,74,40096,2009-07-28,2009-06-02,,,,,,
,2009-10-10,143,28 36 53.4,24 49 58.0,1,G30275,W145,,4800,365,72,40096,2009-07-30,2009-06-04,,,,,,
,2009-10-10,146,28 37 43.5,24 50 03.7,6,,,,,,,,,,,,,,,
,2009-10-10,147,28 37 48.6,24 50 18.2,6,,,,,,,,,,,,,,,
,2009-10-10,169,28 33 59.4,24 50 11.8,1,G30682,W149,,5400,400,77,40096,2009-07-25,2009-05-30,,,,,,
,2009-10-10,196,28 39 03.3,24 48 58.9,16,,,,,140,39,40096,2009-09-01,2009-07-07,,,,,,
,2009-10-10,211,2839 51.8,24 47 25.6,1,G27728,W129,,4900,458,86,40096,2009-07-16,2009-05-21,,,,,,
,2009-10-10,221,28 49 39.4,24 35 33.0,6,,,,,,,,,,,,,,,
,2009-10-10,226,28 34 46.3,24 49 52.8,6,,,,,,,,,,,,,,,
,2009-10-10,227,28 34 34.1,24 49 51.0,16,,,,,445,83,40096,2009-07-19,2009-05-24,,,,,,
,2009-10-10,238,28 35 55.2,24 49 04.1,16,,,,,,,,,,,,,,,
,2009-10-10,248,28 39 28.5,24 50 23.6,1,G30298,W160,,5500,440,83,40096,2009-07-19,2009-05-24,,,,,,
,2009-10-10,259,28 36 14.3,24 48 58.4,1,G30683,W148,,5700,510,96,40096,2009-07-06,2009-05-11,,,,,,
,2009-10-10,264,28 39 43.9,24 47 26.6,1,G27726,W128,,4800,448,84,40096,2009-07-18,2009-05-23,,,,,,
,2009-10-11,266,28 40 15.9,24 48 52.1,1,G30706,W154,,5500,512,97,40097,2009-07-06,2009-05-11,,,,,,
,2009-10-10,272,28 37 56.5,24 49 40.9,2,,,,,,,,,,,,,,,
,2009-10-10,273,28 38 35.4,24 50 03.6,1,G30273,W147,,4800,410,79,40096,2009-07-23,2009-05-28,,,,,,
,2009-10-10,278,28 33 30.0,24 52 01.1,1,G30687,W151,,3900,260,57,40096,2009-08-14,2009-06-19,,,,,,
